values:Date,close,high,low,open,volume
20141023,542.4905,545.7217,534.3828,537.8434,2348800
20141024,538.3021,543.3881,534.3230,542.8696,1973100
20141027,539.2894,542.9194,535.5596,535.5596,1185300
20141028,547.3972,547.4769,540.1370,541.5133,1271000
20141029,547.8260,552.6727,545.4824,548.4941,1770500
20141030,548.8033,551.2864,542.0219,547.4470,1455500
20141031,557.5493,558.0379,553.2311,557.8185,2035100
20141103,553.6998,556.3725,551.7153,553.9791,1382300
20141104,552.5928,553.9791,547.7960,551.4859,1244200
20141105,544.4252,555.2755,542.5604,555.2755,2032300
20141106,540.5559,545.3876,539.4888,544.0064,1333300
20141107,539.5287,544.7145,537.1951,544.7145,1633800
20141110,545.9910,548.0853,539.5387,539.9775,1134600
20141111,548.7833,550.4288,544.8043,546.9882,965500
20141112,545.8115,548.9529,543.6773,548.8831,1129400
20141113,543.8868,548.2946,541.9919,548.2946,1339400
20141114,542.9095,545.1832,540.6656,545.1832,1289200
20141117,535.0411,542.3011,532.5987,542.0917,1725800
20141118,533.5651,540.4562,532.7075,536.0283,1962700
20141119,535.5197,536.7663,528.6287,533.5352,1391600
20141120,533.3657,533.6448,529.6259,529.7955,1562000
20141121,536.0283,540.6556,535.0909,540.1271,2223700
20141124,537.7935,541.2141,534.1535,536.1780,1706000
20141125,539.5986,542.4905,537.1273,537.5242,1789100
20141126,538.8904,540.0672,535.5716,539.3991,1523000
20141128,540.3465,540.5160,535.1308,539.1398,1148300
20141201,532.3384,539.9276,530.4037,537.4245,2115400
20141202,532.2886,534.0338,528.3494,532.0493,1525800
20141203,529.8652,534.5284,527.8109,529.9849,1278000
20141204,535.8389,535.8688,527.1428,529.7057,1392100
20141205,523.8218,531.4310,522.8445,529.5461,2565600
20141208,525.5371,529.5461,522.3558,525.6867,2329400
20141209,531.9097,532.7274,519.0749,520.7104,1871300
20141210,524.6196,534.8616,524.1210,531.6204,1712300
20141211,526.8934,532.4581,525.6568,526.3549,1610800
20141212,517.2399,527.0530,517.2399,522.0767,1994600
20141215,512.3932,521.6677,511.8647,521.3087,2813400
20141216,494.0337,511.6453,487.6611,510.1594,3964300
20141217,503.5076,505.6118,495.4497,495.6392,2883200
20141218,509.7006,512.4630,503.3181,511.5456,2926700
20141219,514.9362,516.3025,505.5231,510.1095,3690200
20141222,523.4329,525.0186,514.6670,514.6670,2723800
20141223,529.1373,533.0964,524.8490,525.5571,2197600
20141224,527.3223,530.3030,525.5770,529.0575,705900
20141226,532.5679,532.7872,525.8662,527.3223,1036000
20141229,528.8780,534.0139,528.5598,530.7329,2278500
20141230,528.9677,529.6957,525.6867,526.6441,876300
20141231,524.9587,531.1417,524.3604,529.7955,1368200
20150102,523.3731,529.8154,522.6650,527.5616,1447600
20150105,512.4630,522.8944,511.6552,521.8273,2059800
20150106,500.5856,514.7617,499.6781,513.5900,2899900
20150107,499.7280,505.8552,498.2820,505.6118,2065100
20150108,501.3036,502.1015,489.6556,496.6265,3353600
20150109,494.8115,503.5375,493.4353,503.3780,2069400
20150112,491.2014,494.6180,486.2251,493.5849,2322400
20150113,494.8215,501.6029,491.0419,497.4742,2370500
20150114,499.4986,501.8522,491.6502,493.2957,2235700
20150115,500.4161,504.2954,496.3972,504.1858,2715800
20150116,506.6889,506.7986,498.6310,498.6410,2298300
20150120,505.5121,511.0968,504.6305,509.6009,2227900
20150121,516.6216,517.8583,504.8141,505.8611,2268700
20150122,532.9269,534.8616,518.2771,520.0522,2676900
20150123,538.4716,540.6855,531.5406,534.1236,2281700
20150126,533.7446,537.5242,528.2198,537.0555,1543700
20150127,517.2100,529.2469,516.7712,528.5189,1904000
20150128,508.6036,521.5580,508.6036,521.3487,1683800
20150129,509.2618,509.6906,499.8277,509.6009,4186400
20150130,533.0565,538.3918,514.1085,514.4476,5606400
20150202,527.0330,531.5406,517.1302,530.2741,2849800
20150203,527.7910,531.9396,521.8273,526.5543,2038700
20150204,521.3287,531.2136,519.8428,527.7910,1663700
20150205,526.1355,527.0530,520.6605,522.3558,1849800
20150206,529.5461,535.7292,524.9687,526.1954,1749400
20150209,526.3848,530.5434,524.5798,526.5543,1267800
20150210,535.4698,536.2278,525.4773,527.8508,1749900
20150211,534.5025,536.9758,531.9176,533.8344,1377800
20150212,541.4435,543.3283,533.2090,535.7790,1620200
20150213,547.5068,548.4044,541.6429,541.8623,1900300
20150217,541.3538,548.4941,539.6085,545.3328,1616800
20150218,538.2223,543.9965,536.0383,539.9177,1453100
20150219,541.3836,541.6230,536.5369,536.5668,989100
20150220,537.4744,542.2612,534.3330,541.6429,1444400
20150223,530.4536,534.9703,527.9604,534.5823,1457900
20150224,534.6222,535.3203,526.8036,528.5489,1005100
20150225,542.3809,544.7244,533.9789,534.4327,1826000
20150226,553.9591,554.6173,540.0174,541.7227,2311500
20150227,556.8712,563.1639,551.3862,552.7225,2410200
20150302,569.7757,570.5835,557.2202,558.9953,2129600
20150303,572.0694,573.8146,564.9689,568.8881,1704800
20150304,571.8001,575.5298,566.4548,570.3042,1876800
20150305,573.7548,576.3277,571.8400,573.4456,1389600
20150306,566.1307,575.1011,565.2083,573.3060,1659100
20150309,567.2925,568.7086,561.9920,565.3079,1062100
20150310,553.4904,563.3034,553.2111,562.7051,1792300
20150311,549.6709,556.6118,549.1722,553.6201,1820800
20150312,553.9890,554.8467,548.9529,551.9945,1389600
20150313,545.8215,556.8712,542.7299,551.9846,1703600
20150316,552.9918,555.3253,544.5051,549.4415,1641000
20150317,549.3318,552.2837,546.4996,550.1995,1805500
20150318,557.9681,558.2474,545.5023,550.9872,2134500
20150319,556.4622,559.2645,554.6223,557.8584,1197300
20150320,558.8257,560.1820,557.5193,560.1122,2616900
20150323,557.2800,560.8203,554.3082,558.8956,1643800
20150324,568.6288,573.0168,559.6735,561.0197,2583300
20150325,557.2550,570.6932,557.2101,568.9380,2152300
20150326,553.6500,557.3698,549.1423,556.0634,1572600
20150327,546.8387,553.7597,546.6292,551.4859,1897500
20150330,550.5186,551.9546,546.6691,550.1097,1287500
20150331,546.4996,553.1912,545.2231,548.4941,1588000
20150401,541.0745,549.6310,538.0229,547.0979,1963100
20150402,534.0638,539.3691,532.3853,539.3691,1716400
20150406,535.2953,536.9358,528.1201,530.7628,1324400
20150407,535.5497,541.2041,534.5324,536.6068,1302900
20150408,540.1271,542.3609,536.9059,536.9059,1178500
20150409,539.2994,540.4662,534.0238,539.5487,1557900
20150410,538.5315,540.8052,535.8389,540.8052,1409500
20150413,537.6937,542.5704,535.8389,536.9358,1645300
20150414,528.9378,536.0981,526.6461,534.7817,2604100
20150415,531.0720,533.2659,521.7874,527.2524,2318800
20150416,532.3384,534.1236,528.1599,528.4492,1299900
20150417,522.6152,528.3893,519.5835,527.2125,2144100
20150420,533.9141,534.6222,523.0639,524.1609,1679300
20150421,532.5080,537.9131,532.2138,536.0383,1844800
20150422,537.8882,539.5986,530.2941,532.9368,1593600
20150423,545.5023,549.4515,538.7509,539.5187,4184900
20150424,563.5129,569.5762,555.7242,564.5500,4932500
20150427,555.3700,565.9500,553.2000,563.3900,2398000
20150428,553.6800,556.0200,550.3660,554.6400,1491000
20150429,549.0800,553.6800,546.9050,550.4700,1698800
20150430,537.3400,548.5900,535.0500,547.8700,2082200
20150501,537.9000,539.5400,532.1000,538.4300,1768200
20150504,540.7800,544.0700,535.0600,538.5300,1308000
20150505,530.8000,539.7400,530.3910,538.2100,1383100
20150506,524.2200,532.3800,521.0850,531.2400,1567000
20150507,530.7000,533.4600,521.7500,523.9900,1546300
20150508,538.2200,541.1500,525.0000,536.6500,1527600
20150511,535.7000,541.9800,535.4000,538.3700,905300
20150512,529.0400,533.2090,525.2600,531.6000,1625400
20150513,529.6200,534.3220,528.6550,530.5600,1252300
20150514,538.4000,539.0000,532.4100,533.7700,1399100
20150515,533.8500,539.2740,530.3800,539.1800,1962700
20150518,532.3000,534.8200,528.8500,532.0100,1998600
20150519,537.3600,540.6600,533.0400,533.9800,1963300
20150520,539.2700,542.9200,532.9720,538.4900,1429100
20150521,542.5100,543.8400,535.9800,537.9500,1461400
20150522,540.1100,544.1900,539.5100,540.1500,1173300
20150526,532.3200,539.0000,529.8800,538.1200,2403400
20150527,539.7900,540.5500,531.7100,532.8000,1520400
20150528,539.7800,540.6100,536.2500,538.0100,1027900
20150529,532.1100,538.6300,531.4500,537.3700,2584900
